t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,C,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,sign_level,betastar,criticalvalue,Jump_indicator,hour,n_obs_sample,weekday,AJL_Jump_indicator
2019-05-03T09:12:52Z,2019-05-03,,etcusd,8665,1.80490600689794,6.0794,5.805,30,1.73992636338438,52.1977909015315,0.0625,0.00335529040928221,0.000100866125262583,3.6443489402634e-05,2.25159739559695e-05,3.06955353781779,0.286344368958925,0.0461863917480874,10.0918199258823,2.23713646532438e-06,13.0103127550375,6.79498333361727,1,9,447,Friday,1
2019-05-04T12:11:54Z,2019-05-04,,ethusd,30161,5.1434402744467,171.304088828475,164.396033343347,5,11.8743420870379,59.3717104351896,0.111111111111111,0.00519885136346168,0.000779096817305909,0.000158524089952423,5.40611068164364e-05,3.29181797416406,0.269817844211591,0.0411619201975322,11.2655596162078,1.03842159916926e-06,13.7778081715847,7.00931647298188,1,12,963,Saturday,1
2019-05-04T12:13:00Z,2019-05-04,,ethusd,30221,5.11030828481664,165.721436402129,171.304088828475,5,11.8743420870379,59.3717104351896,0.111111111111111,0.00519885136346168,0.000779096817305909,0.000158524089952423,5.40611068164364e-05,3.29181797416406,0.269817844211591,-0.0331319896300606,-9.06785695589105,1.03842159916926e-06,13.7778081715847,7.00931647298188,-1,12,963,Saturday,1
2019-05-04T12:25:31Z,2019-05-04,,ethusd,30755,5.11107870307392,165.849160416496,171.224755171765,5,11.8743420870379,59.3717104351896,0.111111111111111,0.00519885136346168,0.000779096817305909,0.000158524089952423,5.40611068164364e-05,3.29181797416406,0.269817844211591,-0.0318983481463571,-8.73022300652729,1.03842159916926e-06,13.7778081715847,7.00931647298188,-1,12,963,Saturday,1
2019-05-05T11:05:09Z,2019-05-05,,bchusd,11394,5.67801984306933,292.369918030154,305.228554779653,7,6.38284738504225,44.6799316952958,0.111111111111111,0.00692054230874653,0.00138588480033172,0.000220637607370353,9.58036197328182e-05,3.11390325332443,0.282887007572433,-0.0430410128414049,-7.32065504770679,1.92678227360308e-06,13.1596581987472,6.83659958184407,-1,11,519,Sunday,1
2019-05-05T21:36:34Z,2019-05-05,,bchusd,21715,5.68681435338255,294.952507950887,309.306647227981,7,6.38284738504225,44.6799316952958,0.111111111111111,0.00692054230874653,0.00138588480033172,0.000220637607370353,9.58036197328182e-05,3.11390325332443,0.282887007572433,-0.0475188172769663,-8.08226495137295,1.92678227360308e-06,13.1596581987472,6.83659958184407,-1,21,519,Sunday,1
2019-05-06T00:58:44Z,2019-05-06,,ethusd,2149,5.08572034948692,161.696375196183,166.192248395222,6,10.8485647910077,65.091388746046,0.111111111111111,0.0064110875608792,0.00417895589361173,0.000122786114092177,8.2347821355415e-05,3.26641102389999,0.271609866649844,-0.0274248916254507,-8.15185481067855,1.13636363636364e-06,13.6876766182302,6.98411904492369,-1,0,880,Monday,1
2019-05-06T02:59:39Z,2019-05-06,,bchusd,3996,5.66086721516685,287.39777022205,297.488019201871,5,7.8339243275877,39.1696216379385,0.111111111111111,0.00733288846173917,0.00204119356063958,0.00016608821448376,0.000107576798328253,3.17338874395214,0.278378810775585,-0.0345067374175692,-7.49418098259413,1.57232704402516e-06,13.362953056169,6.89335172417843,-1,2,636,Monday,1
2019-05-06T08:55:25Z,2019-05-06,,etcusd,9413,1.73418239400049,5.66429474868672,5.53388717387426,42,2.60578653323524,109.44303439588,0.111111111111111,0.00409119784258455,0.000185021064955148,3.08838390510968e-05,3.34760813257318e-05,2.84034650105979,0.30565584548657,0.0232919006509167,6.76563721414091,4.69483568075117e-06,12.2690450972642,6.59045185357695,1,8,213,Monday,1
2019-05-06T09:05:24Z,2019-05-06,,etcusd,9522,1.70756230631826,5.5154999773366,5.66429474868672,42,2.60578653323524,109.44303439588,0.111111111111111,0.00409119784258455,0.000185021064955148,3.08838390510968e-05,3.34760813257318e-05,2.84034650105979,0.30565584548657,-0.0266200876822298,-7.73238124985303,4.69483568075117e-06,12.2690450972642,6.59045185357695,-1,9,213,Monday,1
2019-05-07T14:13:03Z,2019-05-07,,etcusd,14686,1.74466616495716,5.72399028788542,5.88153659688516,22,3.62773949273656,79.8102688402043,0.111111111111111,0.00394760012666572,0.000232880453835824,4.40607468806677e-05,3.1167539884759e-05,2.94407226702809,0.296601963951299,-0.0271518888145579,-7.79098136694134,3.37837837837838e-06,12.5981130441134,6.68069733799261,-1,14,296,Tuesday,1
2019-05-07T19:35:04Z,2019-05-07,,ethusd,51112,5.18467657018492,178.515703150977,172.955388331391,9,9.1597617091222,82.4378553820998,0.111111111111111,0.0056832624352873,0.0018926288027847,0.000125657468726222,6.46284256585484e-05,3.21823021638703,0.275074267070044,0.0316428798583761,8.54326615867429,1.34589502018843e-06,13.5184506507356,6.93680812106068,1,19,743,Tuesday,1
2019-05-08T00:02:02Z,2019-05-08,,bchusd,36,5.61904446309317,275.6258866573,283.989176902425,5,7.01233481132874,35.0616740566437,0.111111111111111,0.00710609225184901,0.00761389881638902,0.000130539008155427,0.000101470225501982,3.14145405477502,0.280781006205779,-0.0298916648433467,-6.92805412200394,1.75438596491228e-06,13.2533907625972,6.86275444873545,-1,0,570,Wednesday,1
2019-05-08T00:13:28Z,2019-05-08,,ltcusd,462,4.28818727437096,72.8343201226843,74.4961305732429,5,9.22489920986125,46.1244960493063,0.111111111111111,0.00403963525092957,0.000290917222805385,4.94133280240136e-05,3.2638002487612e-05,3.22053456199786,0.274906566991214,-0.0225599110515073,-9.74756512441035,1.3351134846462e-06,13.5264935949339,6.93905647960979,-1,0,749,Wednesday,1
2019-05-08T10:45:44Z,2019-05-08,,bchusd,10659,5.65944996931435,286.990745419423,296.16,5,7.01233481132874,35.0616740566437,0.111111111111111,0.00710609225184901,0.00761389881638902,0.000130539008155427,0.000101470225501982,3.14145405477502,0.280781006205779,-0.0314498795108351,-7.28920481757863,1.75438596491228e-06,13.2533907625972,6.86275444873545,-1,10,570,Wednesday,1
2019-05-09T11:08:38Z,2019-05-09,,etcusd,9950,1.7560241467424,5.78937387521858,5.68194283469415,9,3.07077962413456,27.6370166172111,0.0625,0.00172458071853321,8.36706441662652e-06,9.29446857182035e-06,5.94835749178497e-06,3.23504382655209,0.27385531988115,0.0187309241328961,10.7664182792686,1.26903553299492e-06,13.5772527343247,6.9532467172178,1,11,788,Thursday,1
2019-05-10T08:08:35Z,2019-05-10,,etcusd,9607,1.74374357352823,5.71871181881608,5.668,12,2.56580071972344,30.7896086366813,0.0555555555555556,0.000848534896406969,2.75216188948231e-07,3.9173640239789e-06,1.44002294099662e-06,3.25085279772468,0.272719005288718,0.00890725169979456,7.2087210572747,1.20048019207683e-06,13.6327883209461,6.96877326792476,1,8,833,Friday,1
2019-05-10T20:42:01Z,2019-05-10,,ethusd,47920,5.15111756484794,172.624301408492,174.594115391323,5,6.51080832155271,32.5540416077635,0.0625,0.00154137457484505,7.01331877361045e-06,9.90312680355503e-06,4.75167128804772e-06,3.44307349491426,0.259618893436259,-0.0113463746180198,-9.20001220150596,5.99520383693046e-07,14.327135562178,7.16266857567818,-1,20,1668,Friday,1
2019-05-11T23:13:28Z,2019-05-11,,bchusd,34554,5.9410911815554,380.349733797725,367.963911545684,17,2.8627456226497,48.6666755850449,0.0625,0.00222844444654971,1.91761548687748e-05,4.73917473331612e-05,9.93193026033347e-06,3.21512633323416,0.275300477236791,0.0331063146472381,8.13674783917089,1.36054421768708e-06,13.5076250978893,6.93378196901874,1,23,735,Saturday,1
2019-05-11T23:51:43Z,2019-05-11,,btcusd,56401,8.87269641860079,7134.49263884191,7247.65725652778,5,6.64707407435783,33.2353703717892,0.0625,0.00165095561969334,6.76303264874168e-05,1.4824067022369e-05,5.45132082749052e-06,3.44867616060151,0.259255842358269,-0.0157371399972543,-10.5379803073686,5.87199060481503e-07,14.3479016660365,7.1684534931034,-1,23,1703,Saturday,1
2019-05-11T23:55:10Z,2019-05-11,,ltcusd,53659,4.4758994672594,87.8736043037575,92.6099346722585,49,2.0700618952099,101.433032865285,0.0625,0.00236037792406412,5.7961630532166e-06,3.58852885935368e-05,1.11427679763068e-05,3.12119591172168,0.282326481654249,-0.0524969545155329,-12.6086199254707,1.8796992481203e-06,13.184397828462,6.84350056336127,-1,23,532,Saturday,1
2019-05-11T23:55:15Z,2019-05-11,,ethusd,46118,5.25806387195528,192.109183018408,199.369957616487,36,2.23955910839611,80.6241279022601,0.0625,0.00254780627783596,6.05053157512708e-05,2.63509044127426e-05,1.29826431923368e-05,3.14401024349485,0.280587198750765,-0.0370983103122224,-10.8152766105464,1.73913043478261e-06,13.2621244502182,6.8651925924656,-1,23,575,Saturday,1
2019-05-12T00:04:24Z,2019-05-12,,ethusd,104,5.27334133828303,195.066658435862,190.19,48,2.15602353883254,103.489129863962,0.0625,0.00191423690642969,8.94009983992446e-06,1.90606969791082e-05,7.32860607601405e-06,3.13310808535226,0.281415657544287,0.0253177657894605,8.51496247546404,1.80505415162455e-06,13.2249190632189,6.85480737949798,1,0,554,Sunday,1
2019-05-12T00:04:50Z,2019-05-12,,ltcusd,104,4.49238861039484,89.3345767326403,87.054,49,2.10468228006034,103.129431722957,0.0625,0.00210826098635388,2.16055738797132e-06,2.42367291588679e-05,8.88952878531992e-06,3.12613243726949,0.281948312035162,0.0258599946332394,7.6205215905646,1.84842883548983e-06,13.2011736336415,6.84818106015779,1,0,541,Sunday,1
2019-05-12T08:15:16Z,2019-05-12,,ethusd,17387,5.28331518015136,197.021957151989,201.469519530871,48,2.15602353883254,103.489129863962,0.0625,0.00191423690642969,8.94009983992446e-06,1.90606969791082e-05,7.32860607601405e-06,3.13310808535226,0.281415657544287,-0.0223229219563788,-7.50772577572408,1.80505415162455e-06,13.2249190632189,6.85480737949798,-1,8,554,Sunday,1
