t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,Xihat,sign_level,betastar,Jump_indicator
2019-04-17T00:44:01Z,2019-04-17,okex,btcusd,2642,8.55657734752731,5200.84997283965,5201.22499981975,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-7.21061867476891e-05,-0.171739197461122,-0.850039944267285,0.1,2.25036732731245,0
2019-04-17T00:44:50Z,2019-04-17,okex,btcusd,2691,8.55637544164414,5199.79999663443,5200.84997283965,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000201905883164599,-0.480890141350854,-0.770092016333137,0.1,2.25036732731245,0
2019-04-17T00:45:39Z,2019-04-17,okex,btcusd,2740,8.55553368930382,5195.42489445264,5199.79999663443,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000841752340321023,-2.00484698897749,-0.375989411644786,0.1,2.25036732731245,0
2019-04-17T00:46:28Z,2019-04-17,okex,btcusd,2789,8.5554182053923,5194.82494110694,5195.42489445264,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00011548391152516,-0.275054266208827,-0.823322168261726,0.1,2.25036732731245,0
2019-04-17T00:47:17Z,2019-04-17,okex,btcusd,2838,8.55581275049772,5196.87493824254,5194.82494110694,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000394545105420363,0.939709376176079,-0.651439145152865,0.1,2.25036732731245,0
2019-04-17T00:48:06Z,2019-04-17,okex,btcusd,2887,8.5567311500578,5201.64993824297,5196.87493824254,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000918399560084993,2.18740180991056,-0.328779852830716,0.1,2.25036732731245,0
2019-04-17T00:48:55Z,2019-04-17,okex,btcusd,2936,8.55733653034114,5204.79986791288,5201.64993824297,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000605380283341006,1.44186690087453,-0.521578782796988,0.1,2.25036732731245,0
2019-04-17T00:49:44Z,2019-04-17,okex,btcusd,2985,8.55758627976998,5206.09992604474,5204.79986791288,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000249749428839152,0.594841696806053,-0.740623593468591,0.1,2.25036732731245,0
2019-04-17T00:50:33Z,2019-04-17,okex,btcusd,3034,8.5574278050367,5205.27495611769,5206.09992604474,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000158474733282787,-0.377447827148112,-0.79684269862823,0.1,2.25036732731245,0
2019-04-17T00:51:22Z,2019-04-17,okex,btcusd,3083,8.55737017700615,5204.97499501666,5205.27495611769,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-5.76280305502053e-05,-0.137255791276113,-0.858957519733547,0.1,2.25036732731245,0
2019-04-17T00:52:11Z,2019-04-17,okex,btcusd,3132,8.5570723412868,5203.42499837848,5204.97499501666,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000297835719347717,-0.709371410736431,-0.711005656028651,0.1,2.25036732731245,0
2019-04-17T00:52:59Z,2019-04-17,okex,btcusd,3180,8.55729812503638,5204.59997982613,5203.42499837848,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000225783749579378,0.537761344781805,-0.755384848319289,0.1,2.25036732731245,0
2019-04-17T00:53:48Z,2019-04-17,okex,btcusd,3229,8.55724048584162,5204.29999951963,5204.59997982613,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-5.76391947628707e-05,-0.137282381684093,-0.858950643325557,0.1,2.25036732731245,0
2019-04-17T00:54:37Z,2019-04-17,okex,btcusd,3278,8.55718283824771,5203.9999927941,5204.29999951963,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-5.76475939073617e-05,-0.137302386379935,-0.858945470014547,0.1,2.25036732731245,0
2019-04-17T00:55:26Z,2019-04-17,okex,btcusd,3327,8.55711557601239,5203.6499718937,5203.9999927941,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-6.72622353210528e-05,-0.160202096858893,-0.853023494231295,0.1,2.25036732731245,0
2019-04-17T00:56:15Z,2019-04-17,okex,btcusd,3376,8.55710597245042,5203.59999855867,5203.6499718937,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-9.6035619723267e-06,-0.0228733219753629,-0.888537379000766,0.1,2.25036732731245,0
2019-04-17T00:57:04Z,2019-04-17,okex,btcusd,3425,8.55651954519572,5200.54936027312,5203.59999855867,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000586427254697597,-1.39672544941952,-0.533252580270675,0.1,2.25036732731245,0
2019-04-17T00:57:53Z,2019-04-17,okex,btcusd,3474,8.55558181573855,5195.67493774652,5200.54936027312,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00093772945716708,-2.23344086927033,-0.316873929615537,0.1,2.25036732731245,0
2019-04-17T00:58:42Z,2019-04-17,okex,btcusd,3523,8.55469597456538,5191.07443292338,5195.67493774652,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000885841173172253,-2.10985574221198,-0.348833640646915,0.1,2.25036732731245,0
2019-04-17T00:59:31Z,2019-04-17,okex,btcusd,3572,8.55459007883704,5190.5247494205,5191.07443292338,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000105895728344407,-0.252217572731543,-0.829227847543841,0.1,2.25036732731245,0
2019-04-17T01:00:20Z,2019-04-17,okex,btcusd,3621,8.55417099348984,5188.34993230258,5190.5247494205,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000419085347195036,-0.998158194758479,-0.636323998237679,0.1,2.25036732731245,0
2019-04-17T01:01:09Z,2019-04-17,okex,btcusd,3670,8.55354921420826,5185.12492653389,5188.34993230258,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000621779281576806,-1.48092528023437,-0.511478097161045,0.1,2.25036732731245,0
2019-04-17T01:01:58Z,2019-04-17,okex,btcusd,3719,8.55472979193002,5191.24998434867,5185.12492653389,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00118057772175462,2.81184569063507,-0.167295647908186,0.1,2.25036732731245,0
2019-04-17T01:02:46Z,2019-04-17,okex,btcusd,3767,8.55477312398154,5191.47493673425,5191.24998434867,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,4.33320515238478e-05,0.103206286293986,-0.867762886252096,0.1,2.25036732731245,0
