t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,C,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,sign_level,betastar,criticalvalue,Jump_indicator
2019-04-22T15:41:16Z,2019-04-22,,etcusd,15441,1.78031917161983,5.93174936254053,5.91552497670325,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00273892466997028,4.19165471657265,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:41:42Z,2019-04-22,,etcusd,15467,1.77766041627364,5.91599923935086,5.93174936254053,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00265875534618631,-4.06896345461577,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:42:12Z,2019-04-22,,etcusd,15493,1.77554539177836,5.90349997882612,5.91599923935086,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00211502449527856,-3.23683688657172,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:43:14Z,2019-04-22,,etcusd,15519,1.77584998765371,5.90529843445698,5.90349997882612,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000304595875349367,0.466154017142284,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:43:51Z,2019-04-22,,etcusd,15545,1.77155640037123,5.87999787414927,5.90529843445698,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00429358728248008,-6.57091287721297,0.01,4.60014922677658,4.52638142185435,-1
2019-04-22T15:44:42Z,2019-04-22,,etcusd,15570,1.77274651561893,5.8869999150671,5.87999787414927,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00119011524769697,1.82135428767676,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:45:29Z,2019-04-22,,etcusd,15596,1.77237700320942,5.88482499739797,5.8869999150671,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00036951240951133,-0.56550238534932,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:46:03Z,2019-04-22,,etcusd,15622,1.77266965892227,5.88654747708706,5.88482499739797,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000292655712851975,0.44788077326757,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:46:54Z,2019-04-22,,etcusd,15648,1.77308607420583,5.88899923586343,5.88654747708706,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000416415283563731,0.637282619175428,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:47:49Z,2019-04-22,,etcusd,15673,1.77346817674582,5.89124986738807,5.88899923586343,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000382102539989715,0.584770341266691,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:48:29Z,2019-04-22,,etcusd,15699,1.77300111965631,5.88849895983688,5.89124986738807,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000467057089510448,-0.714784920381329,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:49:05Z,2019-04-22,,etcusd,15725,1.77019527681122,5.87199991485014,5.88849895983688,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00280584284509611,-4.29406639932757,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:49:58Z,2019-04-22,,etcusd,15751,1.77197204592471,5.88244237710834,5.87199991485014,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00177676911349578,2.71917030669048,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:50:42Z,2019-04-22,,etcusd,15777,1.77045070465841,5.87349997871797,5.88244237710834,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00152134126630621,-2.32826311886052,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:51:29Z,2019-04-22,,etcusd,15802,1.76968424706037,5.86899991480661,5.87349997871797,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000766457598035064,-1.17298793978568,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:52:30Z,2019-04-22,,etcusd,15828,1.76866140343653,5.86299991471943,5.86899991480661,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00102284362384464,-1.56536152571555,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:53:54Z,2019-04-22,,etcusd,15854,1.76866128707209,5.86299923247479,5.86299991471943,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-1.1636443519869e-07,-0.000178084318634143,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:55:30Z,2019-04-22,,etcusd,15880,1.76832022293881,5.86099991469033,5.86299923247479,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000341064133279279,-0.52196509768535,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:56:27Z,2019-04-22,,etcusd,15905,1.76791483404033,5.8586244119247,5.86099991469033,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.0004053888984763,-0.620407821717424,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:57:05Z,2019-04-22,,etcusd,15931,1.76891722334489,5.86449997868531,5.8586244119247,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00100238930455987,1.53405820261057,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:58:05Z,2019-04-22,,etcusd,15957,1.76876798552266,5.8636248387836,5.86449997868531,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000149237822235637,-0.228393802985399,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:59:29Z,2019-04-22,,etcusd,15983,1.76866140343653,5.86299991471943,5.8636248387836,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000106582086133455,-0.163113395903765,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:01:14Z,2019-04-22,,etcusd,16009,1.76797880947386,5.85899923195079,5.86299991471943,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000682593962670008,-1.04464289744807,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:01:47Z,2019-04-22,,etcusd,16034,1.76455902134777,5.83899691727954,5.85899923195079,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00341978812608956,-5.23364924401445,0.01,4.60014922677658,4.52638142185435,-1
2019-04-22T16:02:33Z,2019-04-22,,etcusd,16060,1.76444818273788,5.83834976684337,5.83899691727954,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000110838609890251,-0.169627586701707,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:03:50Z,2019-04-22,,etcusd,16086,1.76567204300989,5.84549946540071,5.83834976684337,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00122386027201293,1.87299772712061,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:05:10Z,2019-04-22,,etcusd,16112,1.76652683186937,5.85049826937843,5.84549946540071,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000854788859478761,1.30817024425385,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:08:19Z,2019-04-22,,etcusd,16137,1.76763751253228,5.85699991463206,5.85049826937843,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00111068066290865,1.69978747145959,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:09:55Z,2019-04-22,,etcusd,16163,1.76763739592931,5.85699923168853,5.85699991463206,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-1.16602968391888e-07,-0.000178449370216353,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:12:14Z,2019-04-22,,etcusd,16189,1.76640746327394,5.84979994529727,5.85699923168853,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.00122993265536775,-1.88229091236558,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T16:12:58Z,2019-04-22,,etcusd,16215,1.76507307211272,5.8419992297158,5.84979994529727,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.0013343911612238,-2.04215437760006,0.01,4.60014922677658,4.52638142185435,0
