id,t,s,p,q,date
bitstamp,2020-08-14T07:21:28.520Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.520Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.520Z,bchusd,291.89,0.3,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.1,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.719Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:36.995Z,bchusd,291.94,0.19733,2020-08-14
bitstamp,2020-08-14T07:28:28.503Z,bchusd,292.21,2.004,2020-08-14
bitstamp,2020-08-14T07:32:01.736Z,bchusd,292.29,0.15571,2020-08-14
bitstamp,2020-08-14T07:33:33.627Z,bchusd,291.94,2.3,2020-08-14
bitstamp,2020-08-14T07:36:03.937Z,bchusd,292.61,2.94,2020-08-14
bitstamp,2020-08-14T07:36:04.228Z,bchusd,292.61,2.86633226,2020-08-14
bitstamp,2020-08-14T07:36:04.833Z,bchusd,292.62,0.10354825,2020-08-14
bitstamp,2020-08-14T07:45:12.376Z,bchusd,292.54,0.259,2020-08-14
bitstamp,2020-08-14T07:45:55.840Z,bchusd,292.14,0.22,2020-08-14
bitstamp,2020-08-14T07:47:09.248Z,bchusd,292.51,0.123,2020-08-14
bitstamp,2020-08-14T07:47:19.865Z,bchusd,292.51,0.00073,2020-08-14
bitstamp,2020-08-14T07:49:22.249Z,bchusd,292.56,2.57198099,2020-08-14
bitstamp,2020-08-14T07:53:31.552Z,bchusd,292.21,2.004,2020-08-14
bitstamp,2020-08-14T07:57:32.830Z,bchusd,292.54,0.24439,2020-08-14
bitstamp,2020-08-14T07:58:43.017Z,bchusd,292.68,4.61384447,2020-08-14
bitstamp,2020-08-14T08:07:13.503Z,bchusd,293.81,0.24239,2020-08-14
bitstamp,2020-08-14T08:07:13.559Z,bchusd,294.13,0.73096929,2020-08-14
bitstamp,2020-08-14T08:10:23.067Z,bchusd,293.79,0.123,2020-08-14
bitstamp,2020-08-14T08:10:57.895Z,bchusd,293.66,3.25950324,2020-08-14
bitstamp,2020-08-14T08:15:02.341Z,bchusd,294.13,7.54972992,2020-08-14
bitstamp,2020-08-14T08:22:24.051Z,bchusd,293.64,0.403,2020-08-14
bitstamp,2020-08-14T08:24:08.817Z,bchusd,293.22,2.3,2020-08-14
bitstamp,2020-08-14T08:27:52.319Z,bchusd,293.02,1.76315027,2020-08-14
bitstamp,2020-08-14T08:31:15.278Z,bchusd,292.4,2.3,2020-08-14
bitstamp,2020-08-14T08:31:18.365Z,bchusd,292.4,8.559,2020-08-14
bitstamp,2020-08-14T08:31:18.484Z,bchusd,292.4,9.141,2020-08-14
bitstamp,2020-08-14T08:36:53.837Z,bchusd,291.41,0.334,2020-08-14
bitstamp,2020-08-14T08:36:54.757Z,bchusd,291.41,9e-04,2020-08-14
bitstamp,2020-08-14T08:42:31.962Z,bchusd,291.43,4.498,2020-08-14
bitstamp,2020-08-14T08:42:52.652Z,bchusd,291.43,2.16840413,2020-08-14
