s,date,open,high,low,close,log_ret,diff_date
bchusd,2019-10-16,222.38,226.35,213.72,217.07,-0.0241677481074323,1
bchusd,2019-10-17,217.02,221.93,214.02,220,0.0134076641846907,1
bchusd,2019-10-18,220.06,221.25,207.57,213.01,-0.0322884333881685,1
bchusd,2019-10-19,211.98,217,210.61,213.45,0.00206350023977798,1
bchusd,2019-10-20,213.32,227.73,211,224.99,0.0526533435683212,1
bchusd,2019-10-21,225,236.88,223.57,233.55,0.037340230175825,1
bchusd,2019-10-22,232.56,235,225.66,227.1,-0.0280057378366044,1
bchusd,2019-10-23,227.04,228.09,196.56,210.29,-0.0769029186509002,1
bchusd,2019-10-24,210.42,218.21,206.39,212.27,0.0093715187957401,1
bchusd,2019-10-25,212.62,273.98,212.11,258.69,0.19777138437599,1
bchusd,2019-10-26,258.69,285,240.39,253.17,-0.021569233794358,1
bchusd,2019-10-27,253.35,273.45,246.26,261.77,0.0334050557806693,1
bchusd,2019-10-28,261.77,277,258.2,264,0.0084828475276621,1
bchusd,2019-10-29,264.3,299.36,263.64,289.73,0.0930003516696383,1
bchusd,2019-10-30,289.73,307,282.43,289.01,-0.00248816522603576,1
bchusd,2019-10-31,288.82,293.97,269.38,283.2,-0.020307927770354,1
bchusd,2019-11-01,282.92,284.23,269.85,278.98,-0.0150132671554754,1
bchusd,2019-11-02,279.1,297.3,278.32,290.04,0.0388787498393028,1
bchusd,2019-11-03,290.93,305,282.51,291.64,0.00550132043483749,1
bchusd,2019-11-04,291.65,295.5,284.26,291.13,-0.00175026212809593,1
bchusd,2019-11-05,291.17,299,286.2,293.3,0.00742607317327191,1
bchusd,2019-11-06,293.89,309.63,291.41,305.42,0.0404919025416301,1
bchusd,2019-11-07,305.53,306.78,285.86,291.72,-0.0458934404090031,1
bchusd,2019-11-08,291.61,295,269.1,277.11,-0.0513798988434039,1
bchusd,2019-11-09,277.08,283.81,275.55,282.52,0.019334805268093,1
bchusd,2019-11-10,282.51,303.69,279,292.74,0.0355354985150793,1
bchusd,2019-11-11,292.74,297.64,280.65,286.41,-0.0218604923777493,1
bchusd,2019-11-12,286.16,291.86,280.51,289.15,0.00952123392617559,1
bchusd,2019-11-13,289.19,290.23,281,284.92,-0.0147371454940741,1
bchusd,2019-11-14,284.98,286.26,272,277.17,-0.0275774027593897,1
bchusd,2019-11-15,277.08,280.75,257.98,262.65,-0.053808688950793,1
bchusd,2019-11-16,262.75,268.1,261.22,265.09,0.0092470435690463,1
bchusd,2019-11-17,265.08,270.67,259.41,265.99,0.00338932312104844,1
bchusd,2019-11-18,265.99,266.96,237.5,245.88,-0.0786151020512565,1
bchusd,2019-11-19,245.75,249.05,232.41,241.69,-0.0171876987889234,1
bchusd,2019-11-20,241.81,248.97,237.35,243.01,0.00544668150730638,1
bchusd,2019-11-21,242.93,247.4,216.9,227.66,-0.0652493068601212,1
bchusd,2019-11-22,225.98,230.25,194.61,209.5,-0.0831295485348781,1
bchusd,2019-11-23,208.38,219.64,201.46,215.37,0.0276337398943089,1
bchusd,2019-11-24,215.37,217.48,200.45,202.43,-0.0619633314830154,1
